repository_owner,repository_name
asmyers,Shelly.hs
asmyers,amyers
asmyers,haskell-spike
asmyers,language-commonlisp
asmyers,yesod
asr,pdfinfo
astanin,pandoc
astro,haskell-torrent
aszlig,language-javascript
atlytle,Haskell
atomb,dalvik
atulag,CS653-Projects
atwupack,reactive-banana-glut
audreyt,interpolatedstring-perl6
audreyt,regex-genex
avuori,dotfiles
awagner83,haskell-regex-nfa
awest,-Types-and-Programming-Languages---by-B.-Pierce
awgn,ass
awgn,git-prompt
axiom,progchal
axykon,xmonad
aycanirican,hlibev
azer,dotfiles
b52,hakismet
b52,protocol-srcds
b52,reaktor42
ballmerpeak,dotfiles
basdirks,yesoddocs
basvandijk,concurrent-extra
basvandijk,conduit
basvandijk,levmar
basvandijk,lifted-base
basvandijk,ls-usb
basvandijk,monad-control
basvandijk,threads
basvandijk,usb
basvandijk,usb-id-database
basvandijk,vector-bytestring
basvandijk,virthualenv
basvandijk,wai
batterseapower,chsc
batterseapower,containers
batterseapower,cps-core
batterseapower,parallel-io
batterseapower,test-framework
baudehlo,benchmarks
bbqduc,haskellrogue
beastaugh,extralogical.net
benalb,xmonad-config
benarmston,hpaste
benarmston,hpastie
benb,EvoHaskell
benb,gsl-one-dimensional-minimization
benb,phytree
benb,terminal-progress-bar
bendmorris,scotch
benjumanji,xml
benmachine,applicative-quoters
benmachine,dice
benmachine,haskell-src-meta
benmachine,network
benmachine,notcpp
benmachine,pointfree
benmachine,stepeval
benmos,HLevy
benniebunnie,BlockListGenerator-for-Squid
benruijl,spl
bertm,Modular-Haskell-GUI
berufsnerd,haskell-tcp-calculation-server
bgamari,GGen
bgamari,bayes-stack
bgamari,chart-histogram
bgamari,memoize
bgamari,random-fu
bickfordb,hack-contrib-press
bickfordb,text-press
bigkm,kit
binarycodes,XMonad-Config
bitc,lushtags
bitc,omegagb
bitonic,agdastuff
bitonic,bson-mapping
bitonic,gogh
bitonic,kyotocabinet
bitonic,ml-w
bitonic,suggest
bjin,cab
bjin,fancy-walks
bjin,hprox
bjin,process-conduit
bjin,puzzles
bjin,unordered-containers
bjornbm,dimensional-experimental
bjornbm,numtype-tf
bjpop,berp
bjpop,haskell-linux-perf
bjpop,haskell-mpi
bjpop,language-python
bjpop,ministg
bjpop,website
blambo,accelerate-repa
bm3719,dotfiles
bneijt,dotimate
bneijt,hs2dot
bobbykrk,traintable
bogner,xmonad
bogner,xmonadcontrib
bolorino,dotfiles
bonnefoa,org-monad
boothead,zeromq-conduit
borkmann,scheme
bos,aeson
bos,attoparsec
bos,base64-bytestring
bos,blaze-textual
bos,configurator
bos,criterion
bos,filemanip
bos,llvm
bos,math-functions
bos,mwc-random
bos,mysql-simple
bos,pool
bos,pronk
bos,riak-haskell-client
bos,snappy
bos,stanford-cs240h
bos,statistics
bos,strange-loop-2011
bos,text
boxoffoxes,HtmlGen
bradclawsie,plotd
brafales,xmonad-config
brakid,Private-Stuff
brendanhay,gamekeeper
brentonashworth,css-parser
brianhv,conduit
brianhv,pastepipe
brianhv,vim-netbeans-hs
bringout-fmk,epdv
bringout-fmk,fakt
bringout-fmk,fin
bringout-fmk,fmk_common
bringout-fmk,ld
brooksbp,sandbox
brooksbp,toolbox
browland,ProjectEuler
bscottm,pandoc
btmura,b1
bukulin,rwhs
bumptech,redis-haskell
burntcookie90,dotfiles
bwo,dbus-audacious
bwolf,xmonadConfig
byorgey,blank-canvas
byorgey,diagrams-canvas
byorgey,diagrams-svg
bytbox,plog
c3p,funkProg
c9s,CoffeePHP
cakoose,dropbox-sdk-haskell
canadaduane,ImplicitCAD
carabolic,ftfp
carliros,Simple-San-Simon-Functional-Web-Browser
carrbs,cs457
castaway,pandoc
catamorphism,hplaylist
catch22,gitit-tasks
cathoderay,haskell-practice
catseye,Falderal
catseye,Flobnar
catseye,Hev
catseye,Mascarpone
catseye,Pail
catseye,Quylthulg
catseye,Robin
cbart,jpp-lab-2011
cbiffle,ImplicitCAD
cdchapman,xmonad-config
cdsmith,gloss-web
cepete,Haskell-Dijkstra-MPI
cerceris,easyVision
cgo,jalla
cgroza,HsRegex
chairmanK,dotfiles
chanko08,mesh_refine
chargrizzle,Monadic-Compiler
charlescapps,Boggle-Solver-Haskell
charleso,haskell-course
cheecheeo,network
cheese5505,mc3obj
chiro,hscurses
chmllr,Simple-DLX-Simulator
choener,ADPfusion
choener,BiobaseTurner
choener,BiobaseVienna
choener,BiobaseXNA
choener,Nussinov78
choener,RNAfold
chowells79,lrucache
chris-taylor,Haskeme
chris-taylor,SICP-in-Haskell
chris-taylor,todo
chrisbanks,cpiwb
chrisdone,amelie
chrisdone,css
chrisdone,freenect
chrisdone,gd
chrisdone,goa
chrisdone,hasktags
chrisdone,hpaste
chrisdone,hulk
chrisdone,ji
chrisdone,lisk
chrisdone,pgsql-simple
chrisdone,wordcloud
chriseidhof,formlets
christiaanb,SoOSiM
christiaanb,SoOSiM-ui
christiaanb,clash-tryout
christiaanb,fpprac
christofsteel,useless-hs
chrisyco,http-conduit
chrisyco,sylvia
chrra,htiled
cjhveal,Euler
cjhveal,H-99
ckkashyap,LearningPrograms
ckl,xmonad-config
clanehin,roguestar
clockfort,QR-Search
clockfort,mobile-profiles
clockfort,scotty
clux,tournament.hs
cmoore,Sirkel
cmoore,digestive-functors
cmoore,dropbox-sdk-haskell
cmoore,inez
cmoore,web-mongrel2
cnwdup,unreal-engine
cobbpg,elerea
codeninja-ru,my-haskell-problems
coderocket,wpca
colah,Control.Monad.State.Sugar
colah,Higher-Order-Constraints
colah,ImplicitCAD
colinrothwell,reg.hs
