repository_owner,repository_name
TimMoore,s99
TopicQuests,IBISLift
ToxicFrog,kessler
ValtechTechno,OneCalendar
ViliusN,Crossbow
ViliusN,text-utils
Villane,scalabox2d
VladUreche,scala
VladUreche,scala-jvm-benchmarks
Vp3n,Play20
Warry,chat-room
Wilhansen,Play20
Willyfrog,libgdx-sbt-project.g8
Willyfrog,slick2d.g8
Willyfrog,tinygod
Xinef,Xapphire
XuefengWu,Play20
XuefengWu,scala_start
Yasunaga1,scala
YellowKirby,YabeTutorial
YoEight,P4G-Apps
ZenJamal,opinionz
Zofren,MagikPrint
ZouMingxin,Buildings
ZouMingxin,buildingServer
ZouMingxin,gist-it
a-yamada24,4sq4scala
a-yamada24,emrscala
aPhRo,Scala-HTTP-Server
aababilov,Play20
aagahi,spotmint-android
aaltman,scalalgorithms
aaronharnly,anti-xml
aaronp,codefornode
aaronp,mandelbrot
aaronp,timer
aaronp,xpaths
aaronriekenberg,Scala-Netty-Proxy
aaronriekenberg,Scala-Tetris
abecai,Lift_restful_sample
abiquo,api-load-test
aboisvert,revolute
aboisvert,stopwatch
abstracc,scuby
abuggia,apu
acrosa,Scala-TwitterStreamer
acrosa,scala-redis
acruise,scala
adLiberty,poundhound
adamalix,scala
adamalix,slashem
adamdecaf,scala_school
adampingel,pingel.org
adamw,conference-portal
adamw,elasticmq
adamw,jsr305-scala-compiler-plugin
adelbertc,Cinema
adetante,RT-events
adetante,kata-mastermind
adetante,rest-json
adowning,scheduler_test
adrenalinup,Hacker-Images
adriaanm,scala
adriaanm,scala-ide
adriaanm,scala-virtualized-tutorial
adriaanm,scalariform
adrielparedes,openmusic
adyliu,kafka
aeijae,plaati
aemoncannon,ensime-sbt-cmd
afs,LD-Access
agc,pocketchangeapp
agentcoops,SML-Proof-Manipulation
agilesteel,Exercises
agilesteel,spells
agmenc,Pettswood
agmenc,pettswood-ecosystem
ahinz,septa-route
ahjohannessen,ScalaTags
ailiev,logparse
aishafenton,bees_solver
ajantis,c3-web
ajantis,vPerfManager
ajhager,libgdx-sbt-project.g8
ajoberstar,grave-ci
akimichi,Prolog-in-Scala
akisaarinen,ccf
akisaarinen,smartdiet
akka,akka
akka,akka-samples
akollegger,neo4j-tshirt
akollegger,unfiltered-heroku-neo4j
akollegger,unfiltered-neo4j-on-heroku.g8
akollegger,xsbt-neo4j-plugin
akr4,diff-zip
akr4,scala-template
akr4,unfiltered-scalate
akr4,unfiltered-scalate-servlet
akskscala,squeryl-hands-on
al3x,Octobot-Scala
al3x,configgy
al3x,jackhammer
alacscala,alacs
alacscala,scala-corpus
alambert,avro-sbt
alambert,sbt-idea
alandipert,step
alanliang,gizzard
alaz,mongo-scala-driver
alaz,tailf
alce,tweet-archiver
alejandrolujan,hs3
alewando,SwimMeetAlerts
alexanderdean,xsbt-proguard-plugin
alexandru,EulerInScala
alexdoth,akka-logger
alexdoth,fyrie-redis
alexdoth,spray
alexeyr,scala-time
alexwhouse,Scala-Practice
alexy,optional
allotria,XFspoka
almendar,Passim-Brokering-Agent-Platform
alno,sproto
aloiscochard,sandra
aloiscochard,shapeless
aloiscochard,sindi
aloiscochard,siona
alphagov,router
alphaneet,mmd-spriter
alun,jsmarks
alun,map
alupher,spark
alvaroc1,literals-demo
alvaroc1,s2js
amir343,akka
amir343,goose
amir343,grape
amir343,saaloop
amplab,shark
analytically,Play20
anderseriksson,S99
andersonba,SCompiler
andreaturli,Play20
andreazevedo,dispatch
andreazevedo,dispatch-github
andreazevedo,dispatch-twitter
andrescamarena,Apigee-360_0.1
andrew-kazakov,Playframework
andrew-kazakov,SandBoxApp
andrewconner,play-opencnam
andrewconner,scala-opencnam
andrewcropper,freebase_to_rdf
andrewpmckenzie,liftweb-in-a-nutshell
andy1138,disasm2
andyczerwonka,euler
andyczerwonka,intelligence
andypetrella,Play-Multi-Project
andypetrella,classloading-problem
andypetrella,gatling
andypetrella,gatling-play2-plugin
andypetrella,neo4j-play2.0-plugin-test
andypetrella,neo4j-rest-play-plugin
ankurdave,kmeans-spark
anthonyls,diffa
antoineB,tetravex
antoineB,web-vocabulary
antoinecomte,querypoc
antonioj-mattos,Lensed
anvie,hilda
aoprisan,scala-time
aorwall,bam
aorwall,evactor
ap78,alertme
apache,kafka
apache,servicemix5
apdmin,BoolSimp
apeshimam,Squeryl
appamatto,android-plugin
appaquet,mry
appaquet,nrv
appfarm,seollem-server
apps4challenge,twitter-crawler
aprendascala,s99
aprescott,diffa
apschexn,scalaxb
argan,scala-memcached
argv-minus-one,scala-swing
ariejdl,scala-riak
